name,ID,SEX,ALIVE,COMPANY,ALIGN
Bizarro Fire (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Michael Bowen (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
James Craddock II (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Eson (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Richard Wilson (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Rolanda (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Jean-Luc LeBeau (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Donna Diego (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Sirius (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Desmond Pitt (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Delphi (Morlock) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Witness (1949) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
General Wallace (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Kondrati Topolov (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Calvin Goynes (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Eve Teschmacher (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Roderick Krupp (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Sonar (Warpies) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Autumn Rolfson (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Cormick Grimshaw (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Mrs. Falcone (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Lambda-Zero (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Kurt Marko (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Lawrence Trask (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Martian Womanhunter (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Timothy Chambers (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Psyklop (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Candra (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Wadlow (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Joanne Beaubier (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Tamara Kurtz (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Hobart Zemo (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Jane Thorne (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Serene Miami (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Buzz Cooper (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Tracy Burke (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Michael (FOOM) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Overdrive (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Sam Reuther (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Nut (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Achmed El Gib\u00e1r (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Abigail Wright (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Dalia (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Abraham Lincoln (Robot) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
William Drake (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Modi Thorson (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Abner Doolittle (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Fashion Thing (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Manphibian (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Rebecca Ryker (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Xum (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Lambien (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Mario Falcone (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Scan (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Aeneas (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Bram Velsing (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Magique (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Minotaurus (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Pyko (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Scope (Warpies) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Magni Thorson (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Scott Spencer (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Krypto the Earth Dog (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Frank Ludlum (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Arlo Summers (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Hilliard Zemo (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Lucia Callasantos (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Jonah McCarthy (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Neutral Characters
Adrian Zapruder (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Tribulus (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Silver Shield (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Ms. Ferguson (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Father Time (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Zbigniew X (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Vincent Pettine (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Lump (Warpies) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Randall Macklin (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Jeanne Chretien (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Rhonda Monte (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Thomas Ludlow Dalt (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
AC-DC (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Donald Clendenon (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Edward Gardner (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Katherine Webb (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Domina Paris (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Neutral Characters
Kimberly Rebecki (Prime Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Boyd Wilson (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Debra Sinclair (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Adam Essex (Earth-41001),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Ahmed (Tunnel Rats) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Nobilus (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Gregory Herd (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Timothy Anders (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Jo (Morlock) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Phil Donahue (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Ralph Ratchit (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Heller Zemo (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Quentin Quale (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Amos Jardine (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Larry Carpenter (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Steele Fitzpatrick (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Streaky (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Mutate 682 (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Rubin (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
El Chupacabra (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Ness (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Gloria Dayne (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Manuel Vicente (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Thomas Hanson (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Britton (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Siren (Warpies) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Sam Palmer (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Carmen (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Hestia (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Ellie Phimister (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Neutral Characters
Chet Huntley (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Huitzilopochtli (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Politus (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Yeti (Weapon P.R.I.M.E.) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Craig Farnsworth (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Nelson Cragg (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Nora Fields (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Dan (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Ellis Kincaid (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Christopher Daniels (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Lucien Dennis (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Daniel Maddox (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Abel (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Marcus Fifolet (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Phoebus Apollo (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
